x,truedata,truelower,trueupper,diff,max,entropy ,entropy attention
7,3.37848454963839,3.26346,3.49351,3.36885667911148,3.25966548417394,2.60123769160326,3.48129601507466
8,3.35976245976245,3.24738,3.47214,3.36141091824841,3.25412871989122,2.59804722860472,3.46850127095127
9,3.3533522033522,3.24253,3.46418,3.35916604645354,3.2525441045066,2.59690556193806,3.46544486069486
10,3.29532967032966,3.18676,3.4039,3.34479672161172,3.2421793040293,2.58999403846153,3.44049675824175
11,3.24551282051282,3.15233,3.3387,3.3314482051282,3.23224688644688,2.58513709706959,3.417941007326
12,3.23873626373626,3.14409,3.33339,3.32008672161172,3.2235514010989,2.58050427655677,3.39663369963369
14,3.23772338772338,3.15485,3.3206,3.26120345931845,3.18009273004773,2.55824947441447,3.29553294760794
15,3.2046953046953,3.12212,3.28727,3.24559497335997,3.16789975690975,2.55283122044622,3.27431529803529
16,3.20995115995116,3.13031,3.28959,3.23014495726495,3.15661744200244,2.54698221611721,3.25192003052503
17,3.18751526251526,3.11017,3.26486,3.21925177960928,3.1478879090354,2.54307969780219,3.2384497008547
18,3.1042735042735,3.00532,3.20323,3.19452418803418,3.1285541025641,2.53323581196581,3.20516841880341
19,3.02857142857142,2.94321,3.11393,3.13721717948717,3.08364798534798,2.51087364468864,3.12821124542124
20,3.03950771450771,2.95498,3.12403,3.11714398740148,3.06810934509934,2.50345567543567,3.10225882034632
21,3.0081585081585,2.92859,3.08773,3.10212466200466,3.05620099650349,2.49804305944055,3.08464278554778
22,2.9769536019536,2.89545,3.05845,3.08497537240537,3.04281131868131,2.49206663308913,3.06402617216117
23,2.96156898656898,2.88268,3.04046,3.05805355616605,3.0215314010989,2.48297933760683,3.03382846764346
24,2.94789377289377,2.86341,3.03238,3.04413082112332,3.00994511904761,2.47808258547008,3.01685385225885
25,2.89415306915306,2.79023,2.99807,3.00990797979797,2.98269343434343,2.46588335664335,2.97871778749028
26,2.89323176823176,2.79343,2.99304,2.97519139527139,2.95513699383949,2.45404287629037,2.93895392524142
27,2.90094627594627,2.80216,2.99974,2.96021496947497,2.94311524114774,2.44892326923076,2.9222291056166
28,2.86807636807636,2.777,2.95915,2.93084469030969,2.91984736513486,2.43833345238095,2.88863175768675
29,2.85696525696525,2.77048,2.94345,2.91145501082251,2.90439307026307,2.432442506105,2.86963843045843
30,2.85424852924852,2.76521,2.94329,2.86638417499167,2.86740669164169,2.41843135392385,2.81961128898878
31,2.827442002442,2.7458,2.90909,2.82162896520146,2.83089366910866,2.40549472222222,2.77168122100122
32,2.78839024223639,2.71042,2.86636,2.79357803683496,2.80837030678723,2.39717819197896,2.74209395843472
33,2.74590964590964,2.66477,2.82704,2.76830689865689,2.78837172161172,2.38956031746031,2.71495326007325
34,2.74102564102564,2.6599,2.82215,2.76020448107448,2.78192925518925,2.38707664224664,2.70818245421245
35,2.7566990701606,2.67332,2.84007,2.69745625434394,2.73042077416173,2.36943558021038,2.64621553489245
36,2.71274302620456,2.62821,2.79727,2.65675791795811,2.69760806048652,2.35797671268902,2.60566339814032
37,2.69341235687389,2.60305,2.78377,2.63279076927346,2.67826276661372,2.35159295394776,2.5813331825226
38,2.67481428827582,2.60102,2.74861,2.57656478692247,2.63091912997259,2.33683325281556,2.52459764472706
39,2.62200150277073,2.5302,2.7138,2.53542574598478,2.5955536700479,2.32493456724899,2.4806884331267
40,2.58180003756926,2.48131,2.68229,2.5023161672302,2.56844368836291,2.31654252512444,2.44780364374941
41,2.57834387834387,2.47489,2.68179,2.46776725607725,2.53989217393717,2.30775531218781,2.41342133366633
42,2.6038184038184,2.50814,2.6995,2.43558927738927,2.51257282162282,2.30113638278388,2.38114596070596
43,2.58676622522776,2.4913,2.68223,2.40647475486052,2.48956649384803,2.29360053536207,2.35422805860805
44,2.55313575313575,2.45865,2.64762,2.38305712121212,2.46998894716394,2.28907697136197,2.33162427072927
45,2.56278998778998,2.45895,2.66663,2.3453022008547,2.43822226495726,2.27873266483516,2.29647816544566
46,2.54465811965811,2.44189,2.64743,2.30274286324786,2.40086045787545,2.26902618131868,2.25362472832722
47,2.53611111111111,2.43379,2.63843,2.29436529914529,2.39314846153846,2.26671935897435,2.244869508547
48,2.52776667776667,2.42807,2.62747,2.25305003385503,2.3587642038517,2.25658692307692,2.20318878815628
49,2.49965034965035,2.4088,2.5905,2.22082581779331,2.33259592435342,2.25007247585747,2.17286417970918
50,2.4745115995116,2.38341,2.56562,2.20105978327228,2.31549228021978,2.24553125457875,2.15317146214896
51,2.44139194139194,2.35312,2.52967,2.16282897435897,2.28186537545787,2.23741293956043,2.11328128205128
52,2.43885836385836,2.35156,2.52616,2.13240663919413,2.25700926739926,2.23133932539682,2.08321665445665
53,2.43701021201021,2.34734,2.52668,2.11236447469197,2.24104157231657,2.22708292318792,2.06319207015207
54,2.43014208014208,2.34086,2.51943,2.10362148018648,2.23268671883671,2.22578837190587,2.05556166722166
55,2.38243978243978,2.28387,2.48101,2.02723732128982,2.16192984848484,2.21309663364413,1.98087548562548
56,2.35382395382395,2.25439,2.45326,1.99229012765012,2.13468536852036,2.20754821373071,1.94652916944166
57,2.36266233766233,2.26235,2.46297,1.98720476245976,2.13013088134088,2.20688188117438,1.94184957736707
58,2.35539738039738,2.2499,2.46089,1.9515740084915,2.09832449245199,2.20142361194361,1.90696795343545
59,2.33454878454878,2.22868,2.44042,1.92213203046953,2.06935784715284,2.19874511072261,1.87778447968697
60,2.32392607392607,2.21291,2.43494,1.91021725635475,2.06037343628593,2.19768323343323,1.86647324342324
61,2.28113553113553,2.15697,2.4053,1.89455279914529,2.04844204517704,2.19629496336996,1.8510836080586
62,2.30363247863247,2.15296,2.45431,1.88418166666666,2.04240658119658,2.19735264957264,1.84061532051282
63,2.28156288156288,2.12466,2.43847,1.88642105616605,2.04774451770451,2.20118275641025,1.84265453296703
64,2.32374847374847,2.17433,2.47316,1.88276922466422,2.04693899267399,2.20289852869352,1.83950021367521
65,2.3280525030525,2.18129,2.47482,1.87963704517704,2.04447626984126,2.20282007326007,1.83632552197802
66,2.3511877011877,2.19844,2.50393,1.88624061549561,2.05198312687312,2.20775047452547,1.84213356282606
67,2.35793373293373,2.21794,2.49793,1.89550067959817,2.05988991563991,2.21223121933621,1.85045803779553
68,2.356105006105,2.21725,2.49496,1.89724399572649,2.06170674908424,2.21422643162393,1.85163748473748
69,2.42661782661782,2.2854,2.56783,1.90961594017094,2.07339405982906,2.21837828449328,1.86360279609279
70,2.44328449328449,2.30963,2.57694,1.93280615384615,2.09735923076923,2.22553426739926,1.8843807020757
71,2.4552503052503,2.318,2.59251,1.93872952991453,2.1037429059829,2.22904619047619,1.89026561660561
72,2.47331557331557,2.31541,2.63122,1.95304245532245,2.11598277777777,2.23475331168831,1.90312454434454
73,2.51794871794871,2.3525,2.68339,1.98801504273504,2.1526426068376,2.24937756410256,1.93512512820512
74,2.53296703296703,2.37172,2.69422,2.00630728327228,2.17208985347985,2.25592469780219,1.95233605006104
75,2.52609057609057,2.37468,2.6775,2.04568115467865,2.21365901431901,2.26839185980685,1.99096314602064
